actuator's  autocrat's
drawing  warding
donga  gonad
dragoon  gadroon
drag  grad
drags  grads
handouts  thousand
hardy  hydra
dash  shad
milliard  millirad
admonitions  dominations
admonition  domination
kidnaps  skidpan
dial  laid
adroitly  dilatory idolatry
amid  maid
diatoms  mastoid
admits  amidst
inroad  ordain
inroads  ordains sadiron
drain  nadir
divans  viands
divan  viand
aroid  radio
arid  raid
dairy  diary
aids  dais said
avid  diva
woodlark  workload
almond  dolman
duals  lauds
auld  dual laud
dam  mad
monad  nomad
sandworms  swordsman
dormant  mordant
monads  nomads
durmast  mustard
donator  odorant tornado
adorn  radon
outstand  standout
ands  sand
dawn  wand
outdraw  outward
toady  today
draws  sward wards
dart  drat
draw  ward
dray  yard
ads  sad
generates  teenagers
generate  teenager
attentiveness  tentativeness
statelessness  tastelessness
enervates  venerates
enervate  venerate
repartee  repeater
forestage  fosterage
forenames  freemason
generating  greatening
interrogatives  tergiversation
integrative  vinaigrette
allegories  allegorise
allergies  galleries
eglantine  inelegant
ensilage  lineages
gelatine  legatine
impregnate  permeating
germinates  magnetiser
argentine  tangerine
enervating  venerating
argentite  integrate
agenesis  assignee
agentive  negative
gleeman  melange
enlarge  general gleaner
enlarges  generals
eelgrass  gearless largesse
eaglet  legate
enrage  genera
estranges  greatness sergeants
estrange  reagents sergeant
grantee  greaten reagent
avenger  engrave
agree  eager
agrees  grease
hetaerism  timeshare
earthiness  heartiness
earthier  heartier
hastener  heartens
earthen  hearten
seahorse  seashore
hearer  rehear
weathers  wreathes
theatre  thereat
weather  whereat wreathe
heaves  sheave
artilleries  literaliser
imperatives  semiprivate
alikeness  leakiness
entailer  treenail
attentively  tentatively
relatives  versatile
realizes  sleazier
levirate  relative
enumerations  mountaineers
enumeration  mountaineer
impersonate  permeations
emirate  meatier
estimate  meatiest
penetrations  presentation
enervation  veneration
retinae  trainee
attentive  tentative
striptease  tapestries
iterates  treaties treatise
sweatier  weariest
overtakes  takeovers
overtake  takeover
empanel  emplane
empanels  ensample
lameness  maleness nameless salesmen
learner  relearn
learners  relearns
levanter  relevant
leaper  repeal
pleaser  relapse repeals
asleep  elapse please
elapses  pleases
alerter  relater
resale  sealer
realest  relates stealer
leavers  reveals several
leaver  reveal
easel  lease
stateless  tasteless
elates  teasel
meaner  rename
enemas  seamen
statements  testaments
statement  testament
ensnares  nearness
earner  nearer
earnest  eastern nearest
entreat  ternate
senates  sensate
sateen  senate
operates  protease
asserters  reasserts
asserter  reassert
easer  erase
eaters  reseat teaser
setae  tease
finagle  leafing
figurate  fruitage
fashioner  refashion
faultier  filature
fortepiano  pianoforte
faker  freak
fakery  freaky
flea  leaf
feral  flare
falser  flares
earful  ferula
false  fleas leafs
fealty  featly
foramen  foreman
farmer  framer
farmers  framers
fastens  fatness
fare  fear frae
fares  fears safer
afters  faster strafe
feasts  safest
fates  feast feats
fate  feat feta
ganglier  regaling
angering  enraging
ganger  grange nagger
gagsters  staggers
gagster  stagger
anthologies  anthologise theologians
earthling  haltering lathering
hearings  shearing
shattering  straighten
nightwear  wreathing
gahnite  heating
heptagon  pathogen
hangovers  overhangs
hangover  overhang
petrography  typographer
impersonating  impregnations
imaginer  migraine
negativism  timesaving
integration  orientating
pertaining  repainting
reinstating  straitening
granitite  iterating
leaking  linkage
allegorist  legislator
pillages  spillage
alignment  lamenting
germinal  malinger
emulating  glutamine
genial  linage
leaping  pealing
elapsing  pleasing
aligner  engrail realign
integrals  triangles
alerting  altering integral relating triangle
layering  relaying yearling
leasing  sealing
genitals  stealing
elating  genital
apologies  apologise
enigma  gamine
mangier  reaming
emigrants  mastering streaming
mintage  teaming
gamier  mirage
gisarme  mirages
migrate  ragtime
earning  engrain nearing
earnings  grannies
antigens  gentians
anteing  antigen gentian
agonies  agonise
gainer  regain
angrier  earring grainer rangier rearing
registrant  restarting
garnitures  treasuring
erasing  gainers regains searing
assigner  reassign
assigners  reassigns
angriest  ganister gantries
granite  ingrate tangier tearing
averting  grievant
assessing  gassiness
easting  seating teasing
gaiters  stagier
gaiter  triage
allergy  gallery largely regally
seagull  sullage
legman  mangle
angel  angle glean
angels  angles gleans
glare  lager large regal
glares  lagers
game  mage mega
magnetos  megatons montages
magneto  megaton montage
anger  range regna
garner  ranger
garners  rangers
angers  ranges
argent  garnet
garrottes  garrottes
gape  page
gaper  grape pager
gasper  grapes pagers
gapes  pages
gear  rage
garrets  garters
garret  garter grater
gears  rages
gassers  grasses
grates  greats stager
argues  augers
gazers  grazes
grate  great
argue  auger
gazer  graze
ages  sage
gases  sages
gates  stage
swage  wages
hasher  rehash
harshest  thrashes
earthily  heartily
harmonies  harmonise
emphasis  misshape
shipmates  steamship
sympathies  sympathise
epitaphs  happiest
harpies  sharpie
parishes  sharpies
atheists  hastiest
hanker  harken
hale  heal
hotelman  methanol
halters  slather
halter  lather
earthly  lathery
heals  leash shale
hassle  lashes
hassles  slashes
whale  wheal
earthworm  heartworm
marshes  mashers
mashes  shames
phaeton  phonate
havens  shaven
ashore  hoarse
harpers  sharper
phrase  seraph shaper
phrases  seraphs shapers
heaps  phase shape
phases  shapes
hare  hear
rasher  sharer
hares  hears share shear
rashes  shares shears
earths  hearts
hatters  shatter threats
hawser  washer
earth  hater heart
hatter  threat
earthy  hearty
haste  hates heats
haves  shave
hate  heat
militaries  militarise
internality  itinerantly
alienist  litanies
annuities  insinuate
inertias  rainiest
installers  reinstalls
installer  reinstall
lineman  melanin
manlier  marline mineral
terminal  tramline
menials  seminal
ailments  aliments manliest
ailment  aliment
mailers  realism
mutilates  stimulate
mutilate  ultimate
alien  anile
oriental  relation
insolate  toenails
elation  toenail
alpine  pineal
plainer  praline
interplay  painterly
larine  linear
entrails  latrines
latrine  ratline reliant retinal
aliens  saline
saltiness  stainless
entails  salient saltine
natively  venality
espial  lipase
quartile  requital
liquate  tequila
retrial  trailer
airless  serials
realist  retails saltier
irately  reality
aisle  liase
aisles  lassie
summaries  summarise
mensuration  numerations
importunate  permutation
moraine  romaine
airmen  marine remain
marines  remains seminar
minaret  raiment
amenity  anytime
amortises  atomisers
amortise  atomiser
aimer  ramie
aimers  armies
imaret  maitre
innovate  venation
instanter  transient
insane  sienna
assertion  notarises
notarise  senorita
nappies  pinesap
terrapins  transpire
painters  pantries pertains repaints
painter  pertain repaint
pansies  sapiens
panties  sapient
antiques  quantise
restrains  strainers
restrain  retrains strainer terrains trainers
retrain  terrain trainer
arisen  arsine
nastier  retains retinas
nitrates  straiten
retain  retina
iterant  nattier nitrate tertian
tawnier  tinware
sestina  tansies
instates  nastiest
apprise  sappier
rapier  repair
aspirer  repairs
aspire  praise
aspires  paresis praises
parties  pastier pirates traipse
raiser  sierra
raisers  sierras
tarries  tarsier
arise  raise
arises  raises
artiste  attires striate tastier
waiters  wariest
attire  ratite
waiver  wavier
kale  lake leak
knawel  wankel
stalker  talkers
lakes  leaks slake
teamwork  workmate
marker  remark
markers  remarks
makers  masker
rankest  tankers
snake  sneak
snakes  sneaks
outtake  takeout
peaks  speak
quakes  squeak
skaters  streaks
skater  strake streak takers
skates  stakes steaks
skate  stake steak takes teaks
askew  wakes
take  teak
wake  weak
ale  lea
allures  laurels
allure  laurel
lame  male meal
neoplasm  pleonasm
laments  mantels mantles
lament  mantel mantle mental
laymen  meanly namely
ample  maple
ampler  palmer
maples  sample
lamer  realm
lames  males meals
lamest  metals
lane  lean
alone  anole
panel  penal plane
planter  replant
panels  planes
planets  platens
planet  platen
aplenty  penalty
learn  renal
antler  learnt rental
neural  unreal
lanes  leans
sensual  unseals
latent  latten talent
navel  venal
layovers  overlays
layover  overlay
leap  pale peal plea
lapper  rappel
paler  pearl
lapser  pearls
plasters  staplers
plaster  stapler
platters  prattles splatter
parleys  parsley players replays sparely
platter  prattle
parley  pearly player replay
lapse  leaps pales peals pleas sepal
pastels  staples
palest  pastel petals plates pleats staple
leapt  petal plate pleat
equals  squeal
earl  real
earls  laser
starlets  startles
alerts  alters staler
rattles  starlet startle
ravels  salver slaver
layers  relays slayer
alert  alter later
latter  rattle
tartlet  tattler
travel  varlet
laver  ravel velar
early  layer relay
yarely  yearly
sale  seal
sales  seals
slates  stales steals tassel
salves  slaves
least  slate stale steal tales teals
valets  vestal
avulse  values
salve  slave vales
late  tale teal
exalt  latex
lave  vale veal vela
wale  weal
axel  axle
laze  zeal
amen  mane mean name
monastery  oysterman
martens  smarten
manures  surname
manes  manse means names
mare  ream
armrest  smarter
mares  maser reams smear
masters  streams
mattress  smartest
amusers  assumer masseur
master  stream
matters  smatter
mater  tamer
mesa  same seam
amuses  assume
mates  meats steam tames teams
mate  meat meta tame team
matey  meaty
tannest  tenants
soapstone  teaspoons
patroness  transpose
operant  protean
senator  treason
atone  oaten
nape  neap pane
pasterns  raptness
entraps  parents pastern trepans
patterns  transept
enrapt  entrap parent trepan
aspen  napes panes
paten  penta
earn  near
earns  nears saner snare
answers  rawness
astern  sterna
natures  saunter
servant  taverns versant
assent  sanest
attunes  tetanus
naves  vanes
ante  neat
attune  tauten
nave  vane vena
anew  wane wean
praetor  prorate
esparto  seaport
rotates  toaster
ape  pea
papers  sapper
papery  prepay
pare  pear rape reap
parser  sparer
parsers  sparser
prayers  sprayer
pares  parse pears rapes reaps spare spear
parses  passer spares sparse spears
